id,sentence,correct,wrong1,wrong2,wrong3
prep-001,Ich interessiere mich _____ Psychologie.,für,an,auf,mit
prep-002,Wir warten _____ den Bus.,auf,für,an,bei
prep-003,Sie spricht _____ ihrer Freundin.,mit,für,über,nach
prep-004,Er denkt oft _____ seine Familie.,an,auf,mit,bei
prep-005,Ich freue mich _____ das Wochenende.,auf,an,mit,zu
prep-006,Wir sprechen _____ den neuen Film.,über,an,für,bei
prep-007,Sie bedankt sich _____ die Hilfe.,für,auf,mit,nach
prep-008,Er nimmt _____ dem Kurs teil.,an,auf,für,über
prep-009,Ich träume _____ einer Reise nach Berlin.,von,für,an,mit
prep-010,Wir beginnen _____ der Arbeit um acht Uhr.,mit,auf,für,über
prep-011,Sie fragt _____ dem Weg zum Bahnhof.,nach,für,an,über
prep-012,Er kümmert sich _____ seine Schwester.,um,an,mit,bei
prep-013,Ich erinnere mich _____ den Termin.,an,auf,für,mit
prep-014,Wir entscheiden uns _____ den früheren Zug.,für,an,mit,über
prep-015,Sie ärgert sich _____ den Lärm.,über,für,an,nach
prep-016,Er hilft mir _____ den Hausaufgaben.,bei,für,an,über
prep-017,Ich suche _____ meinem Schlüssel.,nach,an,für,mit
prep-018,Wir sprechen _____ unserer Lehrerin.,mit,über,für,nach
prep-019,Sie arbeitet _____ einem wichtigen Projekt.,an,auf,für,über
prep-020,Er entschuldigt sich _____ die Verspätung.,für,an,mit,bei
prep-021,Ich habe Angst _____ großen Hunden.,vor,für,mit,über
prep-022,Wir fahren _____ dem Zug nach Wien.,mit,bei,für,an
prep-023,Sie wohnt _____ ihren Eltern.,bei,mit,für,an
prep-024,Er erzählt _____ seinem Urlaub.,von,für,auf,mit
prep-025,Ich gratuliere dir _____ Geburtstag.,zum,für,auf,mit
